                spot_name                |              domain              | domain_count
 The Chipping Forecast                   | chippingforecast.com             |            2
 Kanishka                                | kanishkarestaurant.co.uk         |            2
 Balans                                  | balans.co.uk                     |            3
 Tantrum Doughnuts                       | tantrumdoughnuts.com             |            2
 Rudy's                                  | rudyspizza.co.uk                 |            2
 Island Poké                             | islandpoke.com                   |            2
 Flesh & Buns                            | fleshandbuns.com                 |            2
 Busaba Eathai                           | busaba.com                       |           11
 Kiyoto Sushi                            | kiyotosushi.co.uk                |            2
 WFM Coffee Bar                          | wholefoodsmarket.com             |            5
 Black Tap Craft Burgers & Shakes        | blacktap.com                     |            2
 Burger & Lobster                        | burgerandlobster.com             |           19
 Wetherspoons                            | jdwetherspoon.com                |            3
 Oka                                     | okarestaurant.co.uk              |            3
 The Mac Factory                         | themacfactory.co.uk              |            2
 Bread Ahead                             | breadahead.com                   |            4
 Greggs                                  | greggs.co.uk                     |            4
 The Coconut Tree                        | thecoconut-tree.com              |            3
 Lina Stores                             | linastores.co.uk                 |            3
 Wingstop                                | wingstop.co.uk                   |            2
 Per Tutti                               | pertuttirestaurant.co.uk         |            2
 Bocconcino                              | bocconcinorestaurant.co.uk       |            2
 Amazonico                               | amazonicorestaurant.com          |            2
 Wright Brothers                         | thewrightbrothers.co.uk          |            3
 7Bone Burger Co.                        | 7bone.co.uk                      |            2
 Estiatorio Milos                        | estiatoriomilos.com              |            2
 M Burger                                | mburgerchicago.com               |            2
 The Hampstead Butcher & Providore       | hampsteadbutcher.com             |            2
 L'antica Pizzeria da Michele            | anticapizzeriadamichele.co.uk    |            2
 Bone Daddies                            | bonedaddies.com                  |            3
 Santa Nata                              | santanata.com                    |            2
 Subway                                  | subway.co.uk                     |            2
 Lou Malnati's Pizzeria                  | loumalnatis.com                  |            2
 Chick 'n' Sours                         | chicknsours.co.uk                |            3
 Tortilla                                | tortilla.co.uk                   |            2
 Giggling Squid                          | gigglingsquid.com                |           15
 Burger King                             | burgerking.co.uk                 |            2
 Hawksmoor                               | thehawksmoor.com                 |            7
 Rosa's Thai Cafe                        | rosasthaicafe.com                |           12
 Buvette                                 | ilovebuvette.com                 |            2
 Melisi                                  | melisi.co.uk                     |            2
 EL&N                                    | elnlondon.co.uk                  |            6
 Cosy Club                               | cosyclub.co.uk                   |            6
 Moomaid Of Zennor                       | moomaidofzennor.com              |            2
 Eat Tokyo                               | eattokyo.co.uk                   |            3
 Farm Girl                               | thefarmgirl.co.uk                |            2
 Vinoteca                                | vinoteca.co.uk                   |            2
 Wimpy                                   | locations.wimpy.uk.com           |            4
 Soft Serve Society                      | softservesociety.com             |            2
 Bar Azita                               | barazita.co.uk                   |            2
 Habaneros                               | habaneros.co.uk                  |            2
 Marchesi 1824                           | pasticceriamarchesi.com          |            2
 Fora                                    | forarestaurants.co.uk            |            2
 Panino Giusto                           | paninogiusto.it                  |            2
 Roka                                    | rokarestaurant.com               |            4
 Common Grounds                          | commongroundsdubai.com           |            2
 Sugar Factory                           | sugarfactory.com                 |            2
 Gail's                                  | gailsbread.co.uk                 |            2
 Haché Burgers                           | hacheburgers.com                 |            2
 McDonalds                               | mcdonalds.com                    |            2
 DF Tacos                                | dftacos.co.uk                    |            2
 Saint Espresso                          | saintespresso.com                |            2
 The Leopard Inn                         | theleopardinn.co.uk              |            2
 Coffee & Thyme                          | coffeeandthyme.co                |            2
 The Collab                              | thecollablondon.com              |            2
 George's Great British Kitchen          | georgesgreatbritishkitchen.co.uk |            2
 Half Cup                                | halfcup.co.uk                    |            2
 Friends Avenue Cafe                     | friendsavenue.ae                 |            2
 Brunch & Cake                           | brunchandcake.com                |            2
 Petersham Nurseries                     | petershamnurseries.com           |            2
 Ole & Steen                             | oleandsteen.co.uk                |            3
 by CHLOE.                               | eatbychloe.com                   |           17
 Söderberg                               | soderberg.uk                     |            2
 Cartems Donuts                          | cartems.com                      |            2
 Mowgli Street Food                      | mowglistreetfood.com             |            8
 Cowshed                                 | cowshed.com                      |            4
 The Lunch Box                           | thelunchbox.co.uk                |            3
 Ippudo                                  | ippudony.com                     |            3
 Fat Hippo                               | fathippo.co.uk                   |            3
 Almost Famous                           | almostfamousburgers.com          |            2
 Las Iguanas                             | iguanas.co.uk                    |            2
 The Breakfast Club                      | thebreakfastclubcafes.com        |            5
 Oath Pizza                              | oathpizza.com                    |            6
 Bill's                                  | bills-website.co.uk              |            8
 Zuma                                    | zumarestaurant.com               |           14
 Brasserie Zédel                         | brasseriezedel.com               |            2
 Chez Antoinette                         | chezantoinette.co.uk             |            2
 Black Tap                               | blacktap.ch                      |            2
 Dirty Burger                            | eatdirtyburger.com               |            2
 Buddha Bar                              | buddhabarlondon.com              |            2
